1	2273
2	1657
3	1387
4	1366
5	1489
6	1338
7	1884
8	2284
9	1335
10	1025
11	1140
12	1478
13	1204
14	1312
15	1300
16	1495
17	1161
18	1366
19	1273
20	1246
21	1072
22	1877
23	1403
24	1411
25	926
26	1534
27	2105
28	2114
29	1994
30	1046
31	2091
32	2227
33	1414
34	1719
35	1722
36	1293
37	1840
38	2542
39	1609
40	2456
41	1929
42	1767
43	1204
44	1762
45	1724
46	2161
47	809
48	1323
49	1325
50	1810
51	1934
52	1352
53	2014
54	1208
55	2171
56	1701
57	1900
58	1758
59	1477
60	1922
61	1972
62	1811
63	1367
64	1775
65	1689
66	1707
67	1354
68	1318
69	1513
70	2430
71	1788
72	1381
73	1358
74	991
75	1586
76	2058
77	1692
78	1459
79	1202
80	1950
81	1494
82	1654
83	1218
84	1457
85	1179
86	1484
87	2731
88	1414
89	1061
90	1573
91	1260
92	1215
93	981
94	1345
95	2158
96	1667
97	730
98	1033
99	1627
100	1155
101	1305
102	1444
103	2242
104	1843
105	1211
106	1384
107	1313
108	1509
109	1796
110	1265
111	1089
112	2159
113	1166
114	1391
115	1445
116	1196
117	1049
118	1999
119	473
120	1285
121	1737
122	1534
123	2636
124	1372
125	1325
126	833
127	1199
128	2431
129	1739
130	2121
131	1726
132	1343
133	1072
134	1387
135	1054
136	1051
137	1270
138	1857
139	1436
140	2016
141	1352
142	909
143	1761
144	1009
145	2035
146	1534
147	1708
148	734
149	1456
150	1332
151	1605
152	1065
153	1291
154	1370
155	1495
156	1928
157	2249
158	988
159	1024
160	875
161	1568
162	1031
163	1079
164	1086
165	1152
166	961
167	1232
168	2189
169	1181
170	1477
171	1613
172	922
173	2432
174	1651
175	1078
176	825
177	1579
178	1873
179	1671
180	2454
181	1485
182	1408
183	1620
184	896
185	1950
186	2299
187	2165
188	1108
189	1732
190	1602
191	1685
192	2026
193	1690
194	1737
195	1475
196	1770
197	1349
198	1571
199	1862
200	1459
201	2284
202	1553
203	2323
204	1204
205	1769
206	2186
207	1331
208	1781
209	1243
210	1287
211	1455
212	1502
213	877
214	1522
215	2611
216	1949
217	1707
218	1336
219	2212
220	1358
221	2502
222	1765
223	1529
224	1422
225	1950
226	2156
227	1504
228	1659
229	1033
230	1538
231	1345
232	2022
233	2036
234	2111
235	1589
236	1667
237	1064
238	1458
239	2401
240	1449
241	2407
242	1832
243	1424
244	1756
245	1642
246	1429
247	1928
248	1620
249	1362
250	1275
251	1301
252	998
253	1163
254	1480
255	2131
256	1833
257	1161
258	1168
259	1569
260	1675
261	966
262	1395
263	1638
264	1712
265	1799
266	1916
267	1895
268	1008
269	1002
270	1962
271	1729
272	732
273	2166
274	1060
275	1519
276	1708
277	1227
278	1085
279	1045
280	1720
281	1494
282	961
283	1420
284	1318
285	740
286	879
287	1358
288	2318
289	1545
290	1582
291	1693
292	1152
293	1469
294	2005
295	1113
296	1281
297	1500
298	1409
299	943
300	791
301	704
302	1585
303	1004
304	796
305	1000
306	2156
307	638
308	1391
309	1644
310	1398
311	967
312	1578
313	1068
314	1418
315	1784
316	1952
317	997
318	1485
319	1419
320	1534
321	1633
322	1012
323	2085
324	3101
325	1858
326	983
327	2169
328	2086
329	2204
330	1578
331	1526
332	1725
333	937
334	1678
335	1572
336	1188
337	1535
338	1335
339	1702
340	1927
341	1652
342	1492
343	1801
344	1977
345	1246
346	2142
347	1352
348	1507
349	1378
350	2387
351	1306
352	1425
353	1882
354	2395
355	1600
356	1445
357	1985
358	1160
359	2099
360	1541
361	1412
362	2116
363	1279
364	2040
365	2022
366	1902
367	1140
368	1904
369	2075
370	3662
371	1800
372	2432
373	1499
374	1041
375	1826
376	1734
377	1729
378	1077
379	1599
380	1147
381	1535
382	1515
383	1541
384	1446
385	1249
386	1711
387	2115
388	1817
389	1761
390	2174
391	1793
392	1711
393	1931
394	1804
395	1881
396	2290
397	1840
398	1642
399	1375
400	1524
401	1361
402	1304
403	1655
404	1930
405	1559
406	1737
407	1753
408	1043
409	1202
410	1499
411	2102
412	2390
413	1327
414	1286
415	1414
416	1971
417	1243
418	1922
419	1163
420	1651
421	1301
422	1849
423	1799
424	1703
425	1627
426	1522
427	1408
428	2630
429	1648
430	1536
431	1433
432	1748
433	1274
434	1658
435	1580
436	1607
437	1381
438	1322
439	1168
440	1067
441	1890
442	1658
443	1064
444	868
445	1287
446	2167
447	1383
448	1417
449	2017
450	1777
451	1596
452	1421
